crisis_definition,word_count_base,sentimenter_name,sentiment_kind,improvement_recall_%,improvement_precision_%,improvement_fscore_%,correlation
IMF_GAP_0,fed,afinn,direction_x_word-count,1.1448928480555294,0.7308862043812253,1.025515635888529,-0.31731205706582605
IMF_GAP_0,fed,afinn,intensity_x_word-count,7.9568651566963755,2.883305498998812,6.483569063523262,-0.1953270389614535
IMF_GAP_0,fed,textblob,direction_x_word-count,1.7026332368050507,-0.2846228536462901,1.1228946332900924,-0.16894813644030454
IMF_GAP_0,fed,textblob,intensity_x_word-count,6.545144738654795,2.0089288195695123,5.232258078827536,-0.1086955956898742
IMF_GAP_0,fed,vader,direction_x_word-count,0.537734942456211,-1.359026675005532,-0.008209339348870248,-0.2889035112447847
IMF_GAP_0,fed,vader,intensity_x_word-count,2.819519724161147,0.4088226169192697,2.133078197497501,0.26321842014737373
IMF_GAP_0,w2v,afinn,direction_x_word-count,4.077164912891888,-1.8647964067471205,2.4060178400754637,-0.277421693226262
IMF_GAP_0,w2v,afinn,intensity_x_word-count,15.055192633802728,0.9952918285031869,10.94457560147494,-0.18835028468372064
IMF_GAP_0,w2v,textblob,direction_x_word-count,4.188934110197481,-2.960152087456883,2.1478716947741994,-0.12711852360347073
IMF_GAP_0,w2v,textblob,intensity_x_word-count,12.066311943319036,-1.5530770615393565,8.109138900233042,-0.11166109449085518
IMF_GAP_0,w2v,vader,direction_x_word-count,4.3653152411874165,-3.6300252813440816,2.117317131370898,-0.32960024642745145
IMF_GAP_0,w2v,vader,intensity_x_word-count,6.854662754388575,-1.9874839850365584,4.366650459705667,0.48895541551210625
IMF_GAP_0,w2v_refined_2,afinn,direction_x_word-count,2.043258421697509,-1.933859455804177,0.8960081426256014,-0.2749445110821793
IMF_GAP_0,w2v_refined_2,afinn,intensity_x_word-count,10.664727562116335,2.1418650188146087,8.168270725552674,-0.18595710257708212
IMF_GAP_0,w2v_refined_2,textblob,direction_x_word-count,3.815436930012155,-0.6660565116142436,2.5168087346739663,-0.13845565991017086
IMF_GAP_0,w2v_refined_2,textblob,intensity_x_word-count,9.605943426541433,0.43201084617473934,6.91168487874977,-0.10870143299939963
IMF_GAP_0,w2v_refined_2,vader,direction_x_word-count,1.4092810527703081,-3.990627491876967,-0.13500634554562652,-0.313553113546348
IMF_GAP_0,w2v_refined_2,vader,intensity_x_word-count,5.185088517137864,0.5106028642328513,3.8590028022759975,0.3744279699932105
IMF_GAP_6,fed,afinn,direction_x_word-count,1.140111107633985,3.739088574162783,2.888122656440519,-0.31731205706582605
IMF_GAP_6,fed,afinn,intensity_x_word-count,9.12929535884531,2.4895112101551673,4.514561951659251,-0.1953270389614535
IMF_GAP_6,fed,textblob,direction_x_word-count,4.728232276529766,1.0381129675192113,2.1252466626131854,-0.16894813644030454
IMF_GAP_6,fed,textblob,intensity_x_word-count,6.142579946920212,-2.5375021261842443,0.08999580573896848,-0.1086955956898742
IMF_GAP_6,fed,vader,direction_x_word-count,2.034062586541135,3.6653694423712535,3.13073101697512,-0.2889035112447847
IMF_GAP_6,fed,vader,intensity_x_word-count,5.305071927735483,7.1853078920783435,6.574336284051071,0.26321842014737373
IMF_GAP_6,w2v,afinn,direction_x_word-count,1.8262305799554717,-2.8719712080431288,-1.3578730045164438,-0.277421693226262
IMF_GAP_6,w2v,afinn,intensity_x_word-count,12.514711699410448,-0.5097761743187781,3.569284668823952,-0.18835028468372064
IMF_GAP_6,w2v,textblob,direction_x_word-count,2.750490826846097,-7.6941713161711895,-4.424968178922651,-0.12711852360347073
IMF_GAP_6,w2v,textblob,intensity_x_word-count,7.633538490170338,-11.340264224130998,-5.6263525057725,-0.11166109449085518
IMF_GAP_6,w2v,vader,direction_x_word-count,1.7294504470521455,-6.141513565293466,-3.5511841712507195,-0.32960024642745145
