,Correlation
Fed Words,0.11994031021279528
w2v Words,0.8035749313899999
w2v Words Revised v3,0.5465174775681602
Vader Sentiment Score,0.5970889687477061
Vader Score x Fed Words,0.3570975106029369
Vader Direction x Fed Words,-0.3463137962422913
TextBlob Score x Fed Words,-0.1570293256766486
TextBlob Direction x Fed Words,-0.2589653505885956
Afinn Score x Fed Words,-0.230642166112769
Afinn Direction x Fed Words,-0.32189701825969397
Vader Score x w2v Words,0.6431382450223616
Vader Direction x w2v Words,-0.3674200612049722
Textblob Score x w2v Words,-0.08830035723289544
Textblob Direction x w2v Words,0.0458098713924208
Afinn Score x w2v Words,-0.19742071405534045
Afinn Direction x w2v Words,-0.13629996949859985
Vader Score x w2v Words Revised v3,0.5382991102790461
Vader Direction x w2v Words Revised v3,-0.3317725700486287
TextBlob Score x w2v Words Revised v3,-0.09217436171149639
TextBlob Direction x w2v Words Revised v3,-0.015488932341358352
Afinn Score x w2v Words Revised v3,-0.19498706714174663
Afinn Direction x w2v Words Revised v3,-0.14531486994455312
