,Correlation
Fed Words,0.3700294248911264
w2v Words,0.8404155229991845
w2v Words Revised v3,0.5578474001094198
Vader Sentiment Score,0.8447086457529426
Vader Score x Fed Words,0.7101313277767733
Vader Direction x Fed Words,-0.2861344677784452
TextBlob Score x Fed Words,-0.07896819114162314
TextBlob Direction x Fed Words,-0.013796542024806418
Afinn Score x Fed Words,-0.4361509890120934
Afinn Direction x Fed Words,-0.34666892948732725
Vader Score x w2v Words,0.7949626614572625
Vader Direction x w2v Words,-0.31520680087896563
Textblob Score x w2v Words,0.01754715414745843
Textblob Direction x w2v Words,0.20391087341036782
Afinn Score x w2v Words,-0.388997802355967
Afinn Direction x w2v Words,-0.15700542777941118
Vader Score x w2v Words Revised v3,0.6982777335644436
Vader Direction x w2v Words Revised v3,-0.37427782558165634
TextBlob Score x w2v Words Revised v3,-0.08126115240481308
TextBlob Direction x w2v Words Revised v3,0.03196562224356913
Afinn Score x w2v Words Revised v3,-0.3926128413258456
Afinn Direction x w2v Words Revised v3,-0.26579155335835064
