,Correlation
Fed Words,-0.03179979135096632
w2v Words,0.4995287682796049
w2v Words Revised v3,0.20223198386162788
Vader Sentiment Score,0.4098935805905601
Vader Score x Fed Words,0.035238743946797164
Vader Direction x Fed Words,-0.45370260154048053
TextBlob Score x Fed Words,-0.20630979515949469
TextBlob Direction x Fed Words,-0.37943068798842733
Afinn Score x Fed Words,-0.17522650261815995
Afinn Direction x Fed Words,-0.48303408765624567
Vader Score x w2v Words,0.2894234202247445
Vader Direction x w2v Words,-0.5789586656494727
Textblob Score x w2v Words,-0.18534300093325076
Textblob Direction x w2v Words,-0.4697391086866674
Afinn Score x w2v Words,-0.21127690775608213
Afinn Direction x w2v Words,-0.616690005761662
Vader Score x w2v Words Revised v3,0.14554742541198318
Vader Direction x w2v Words Revised v3,-0.5229491058417562
TextBlob Score x w2v Words Revised v3,-0.16121232248081338
TextBlob Direction x w2v Words Revised v3,-0.40295464560823474
Afinn Score x w2v Words Revised v3,-0.19537948700469887
Afinn Direction x w2v Words Revised v3,-0.5524644243493491
