,Correlation
Fed Words,0.19929147914017337
w2v Words,0.7040737304148922
w2v Words Revised v3,0.4522427318275586
Vader Sentiment Score,0.4477968506455738
Vader Score x Fed Words,0.21439644025120733
Vader Direction x Fed Words,-0.2440440321622707
TextBlob Score x Fed Words,-0.12353206850179717
TextBlob Direction x Fed Words,-0.1887007573914509
Afinn Score x Fed Words,-0.18265159739286788
Afinn Direction x Fed Words,-0.3088952138426362
Vader Score x w2v Words,0.42908307471323687
Vader Direction x w2v Words,-0.36285886501321746
Textblob Score x w2v Words,-0.19802452882999955
Textblob Direction x w2v Words,-0.27324092524799476
Afinn Score x w2v Words,-0.21205250986719384
Afinn Direction x w2v Words,-0.4105742008024742
Vader Score x w2v Words Revised v3,0.2801234527266713
Vader Direction x w2v Words Revised v3,-0.30068306397935746
TextBlob Score x w2v Words Revised v3,-0.1772954365258529
TextBlob Direction x w2v Words Revised v3,-0.24891969536176647
Afinn Score x w2v Words Revised v3,-0.2002246101500897
Afinn Direction x w2v Words Revised v3,-0.3571520093318331
