,Correlation
Fed Words,0.051860984655443365
w2v Words,0.4968754612915626
w2v Words Revised v3,0.2781349017217327
Vader Sentiment Score,-0.0035784432317405796
Vader Score x Fed Words,0.023394040325461322
Vader Direction x Fed Words,-0.3757309698559432
TextBlob Score x Fed Words,-0.10602027583372502
TextBlob Direction x Fed Words,-0.2534989595625138
Afinn Score x Fed Words,-0.18624484127930652
Afinn Direction x Fed Words,-0.3690438411637102
Vader Score x w2v Words,0.14715801185361402
Vader Direction x w2v Words,-0.5895886025675662
Textblob Score x w2v Words,-0.14247101297617928
Textblob Direction x w2v Words,-0.40424155521712896
Afinn Score x w2v Words,-0.2236393915483407
Afinn Direction x w2v Words,-0.5436389299994457
Vader Score x w2v Words Revised v3,0.09723587883564241
Vader Direction x w2v Words Revised v3,-0.49948758964750634
TextBlob Score x w2v Words Revised v3,-0.13573547271502762
TextBlob Direction x w2v Words Revised v3,-0.3222119601408877
Afinn Score x w2v Words Revised v3,-0.1982975437547743
Afinn Direction x w2v Words Revised v3,-0.4412153286474035
