,Correlation
Fed Words,-0.10790051017619466
w2v Words,0.41734471178461774
w2v Words Revised v3,0.13241771546442435
Vader Sentiment Score,0.4190120483277138
Vader Score x Fed Words,0.044777023287042764
Vader Direction x Fed Words,-0.4367294459889839
TextBlob Score x Fed Words,-0.12778865018171945
TextBlob Direction x Fed Words,-0.23314629348075758
Afinn Score x Fed Words,-0.2034105433308362
Afinn Direction x Fed Words,-0.5029119986826508
Vader Score x w2v Words,0.33931680359822697
Vader Direction x w2v Words,-0.585412406130736
Textblob Score x w2v Words,-0.1559082990485438
Textblob Direction x w2v Words,-0.42751649267934655
Afinn Score x w2v Words,-0.21777354263941523
Afinn Direction x w2v Words,-0.6826775339832551
Vader Score x w2v Words Revised v3,0.21143030399917354
Vader Direction x w2v Words Revised v3,-0.529717614842773
TextBlob Score x w2v Words Revised v3,-0.22742047356987344
TextBlob Direction x w2v Words Revised v3,-0.39975240838043846
Afinn Score x w2v Words Revised v3,-0.20665146956249902
Afinn Direction x w2v Words Revised v3,-0.624060700808954
