,Correlation
Fed Words,0.23293019965550305
w2v Words,0.8996695162068754
w2v Words Revised v3,0.7085225460252317
Vader Sentiment Score,0.8841752286510813
Vader Score x Fed Words,0.7183206037815699
Vader Direction x Fed Words,-0.5677762244776271
TextBlob Score x Fed Words,-0.1357484844730267
TextBlob Direction x Fed Words,-0.06413923620001485
Afinn Score x Fed Words,-0.4461993073486986
Afinn Direction x Fed Words,-0.47224706871703087
Vader Score x w2v Words,0.8492429090842125
Vader Direction x w2v Words,-0.4494250748218903
Textblob Score x w2v Words,0.04759140453117507
Textblob Direction x w2v Words,0.4756893306284105
Afinn Score x w2v Words,-0.20732500134415338
Afinn Direction x w2v Words,0.18511999649906813
Vader Score x w2v Words Revised v3,0.7731531118339224
Vader Direction x w2v Words Revised v3,-0.51409883660874
TextBlob Score x w2v Words Revised v3,-0.055188036012677355
TextBlob Direction x w2v Words Revised v3,0.2749737624475746
Afinn Score x w2v Words Revised v3,-0.30601491357888416
Afinn Direction x w2v Words Revised v3,-0.024950415031281335
