,Correlation
Fed Words,0.08966413605022795
w2v Words,0.542922475386353
w2v Words Revised v3,0.25723208380914897
Vader Sentiment Score,0.2257084988412234
Vader Score x Fed Words,0.04949916868764073
Vader Direction x Fed Words,-0.2577111904326587
TextBlob Score x Fed Words,-0.061535990313099094
TextBlob Direction x Fed Words,-0.1499675493480437
Afinn Score x Fed Words,-0.04231912676889213
Afinn Direction x Fed Words,-0.2906674959708719
Vader Score x w2v Words,0.16320946239789677
Vader Direction x w2v Words,-0.4227760484525967
Textblob Score x w2v Words,-0.13350726974732635
Textblob Direction x w2v Words,-0.3202408857294612
Afinn Score x w2v Words,-0.07304085460717734
Afinn Direction x w2v Words,-0.45074040526948367
Vader Score x w2v Words Revised v3,0.0596027307882903
Vader Direction x w2v Words Revised v3,-0.3352122004781379
TextBlob Score x w2v Words Revised v3,-0.0931998959892928
TextBlob Direction x w2v Words Revised v3,-0.24715422741492474
Afinn Score x w2v Words Revised v3,-0.07088070964888697
Afinn Direction x w2v Words Revised v3,-0.3769517387385313
