,Correlation
Fed Words,0.2657400833245338
w2v Words,0.7010405077712515
w2v Words Revised v3,0.4350811553345595
Vader Sentiment Score,0.501493001061764
Vader Score x Fed Words,0.21518790984120179
Vader Direction x Fed Words,-0.27205737241710454
TextBlob Score x Fed Words,-0.09434591031893665
TextBlob Direction x Fed Words,-0.23244878805993183
Afinn Score x Fed Words,-0.11790900540550084
Afinn Direction x Fed Words,-0.275452625928405
Vader Score x w2v Words,0.3755283646783642
Vader Direction x w2v Words,-0.3771977574221433
Textblob Score x w2v Words,-0.1509855928509487
Textblob Direction x w2v Words,-0.28109230762583354
Afinn Score x w2v Words,-0.14211817108071706
Afinn Direction x w2v Words,-0.35928760169927954
Vader Score x w2v Words Revised v3,0.2570314814483079
Vader Direction x w2v Words Revised v3,-0.30399811309980534
TextBlob Score x w2v Words Revised v3,-0.1161082279679296
TextBlob Direction x w2v Words Revised v3,-0.239001146719686
Afinn Score x w2v Words Revised v3,-0.11997011897987561
Afinn Direction x w2v Words Revised v3,-0.28986277418536843
