,abrupt,adverse,adversely,aggravate,bad,burden,challenge,closure,contraction,costly,damage,danger,deficit,dent,destabilise,deteriorate,deterioration,difficult,discourage,downgrade,drag,erode,erosion,exacerbate,expose,fear,force,fragility,gloomy,hurt,illiquid,impairment,inability,jeopardise,lose,negative,pose,question,repercussion,risky,severely,shortfall,spiral,squeeze,stagnate,strain,stress,struggle,suffer,threaten,turbulent,unable,undermine,unease,unexpectedly,vulnerable,weakness,worsen,writedowns
0,sudden,unfavourable,materially_affect,exacerbate,dreadful,administrative_burden,dilemma,mothballing,slowdown,expensive,harm,threat,budget_deficit,severely_dent,undermine,worsen,sharp_deterioration,extremely_difficult,deter,rating_downgrade,knock,undermine,deterioration,aggravate,vulnerable,worry,threaten,vulnerability,downbeat,affect,risky,impairment_charge,unwillingness,endanger,,,face,ques_tions,ramification,illiquid,severe,,downward_spiral,constraint,stagnant,severe_strain,,scramble,susfered,imperil,tumultuous,,jeopardise,disquiet,thanexpected,susceptible,,deteriorate,writedown
1,dramatic,unfavorable,adversely_affect,beset,lousy,strain,chal_lenge,redundancy,deceleration,cumbersome,reputational_damage,possibility,surplus,hurt,destabilisation,deterioration,rapid_deterioration,diffcult,dissuade,downgradings,stumble,diminish,steady_erosion,cause,susceptible,concern,orce,precariousness,bleak,adversely_affect,mispriced,writedown,failure,imperil,shed,bearish,confront,ques_tion,implication,,greatly,deficit,escalate,downward_pressure,sluggish,pressure,,try,susfering,cripple,torrid,unwilling,erode,anxiety,unusually,expose,sluggishness,aggravate,write_offs
2,ignominious,,adverse,hamper,terrible,constraint,obstacle,shutdown,,painful,severely_damage,likelihood,defcit,tarnish,disrupt,weaken,,dificult,,,weigh,weaken,diminution,accentuate,prone,anxiety,troop,resilience,pessimistic,hamper,highly_leverage,write_offs,,undermine,slip,adverse,beset,doubt,consequence,unattractive,badly,loss,vicious_cycle,downturn,decelerate,upward_pressure,,unable,susser,endanger,stormy,reluctant,hinder,nervousness,surprisingly,prone,deterioration,exacerbate,impairment_charge
3,untimely,negative,severely_affect,affect,awful,pressure,problem,lie_offs,deterioration,problematic,irreparable_damage,consequence,borrow_requirement,undermine,inflame,,deteriorate,diffi_cult,inhibit,lower,push,steadily_erode,shrinkage,hamper,lay_bare,fret,orces,robustness,,exacerbate,liquid,writedowns,reluctance,hinder,,unfavourable,create,thorny_question,ripple_effect,highly_leverage,irreparably,gap,uncontrollable,recession,falter,constraint,,battle,afflict,disrupt,traumatic,fail,,unhappiness,unexpected,,softness,deterioration,impairment
4,unexpected,currency_fluctuation,magnify,accentuate,horrible,dependency,threat,rationalisation,stagnation,timeconsuming,collateral_damage,risk,imbalance,,imperil,sharp_deterioration,slowdown,hard,prevent,rating_agency,turn,hurt,erode,magnify,confine,suspicion,persuade,frailty,grim,undermine,cdos,goodwill_impairment,,impede,drop,,exacerbate,dilemma,impact,problematic,grievously,deficiency,balloon,crunch,stagnation,downward_pressure,,strive,hurt,undermine,eventful,oblige,,uneasiness,noticeably,heavily_expose,slowdown,weaken,writeoffs
5,abruptly,unforeseen,impair,bedevil,nasty,stigma,conundrum,layoff,decline,complicate,cripple,spectre,shortfall,,neutralise,rapid_deterioration,weakness,tricky,preclude,junk_status,hobble,whittle_away,appreciation,beset,exploit,fearful,army,sluggishness,,hobble,illiquidity,writeoff,apparent_inability,derail,disappear,,,unanswered_question,reverberation,distress,hamstring,discrepancy,deflationary_spiral,strain,shrink,pres_sure,,uphill_struggle,hit,severely_damage,tempestuous,loath,hamper,wariness,exceptionally,,weaken,deepen,unrealise_loss
6,precipitous,adversely,unfavourable,adversely_affect,wrong,dependence,difficulty,closing,shrinkage,disruptive,tarnish,problem,budget,erode,instability,depress,decline,dimcult,hinder,fitch,limp,severely_dent,degradation,affect,hurt,speculation,oblige,strength,,crimp,opaque,writeoffs,,hamper,,weak,aggravate,query,spillover_effect,,cripple,shortage,creep,suck,anaemic,burden,,uphill_battle,,jeopardise,rocky,try,imperil,apprehension,,resilient,,dire,loss
7,sharp,worsen,negative,magnify,atrocious,red_tape,daunt_task,stoppage,downturn,inefficient,destroy,hazard,psbr,weaken,aggravate,shrink,shrinkage,difcult,stifle,default,pull,exacerbate,weakness,heighten,perceive,,urge,solidity,,erode,securitised,unrealise_loss,,fatally_undermine,,,tackle,debate,adverse_consequence,opportunistic,severely_affect,outflow,uncontrolled,downward_spiral,slow,ressure,,attempt,benesited,paralyse,miserable,unlikely,stifle,dissatisfaction,unprecedentedly,problematic,malaise,depress,writeoff
8,drastic,,severely_dent,worsen,rotten,risk,ethical_dilemma,compulsory_redundancy,recession,burdensome,devastate,fear,external_imbalance,dampen,paralyse,,erosion,impossible,prohibit,fitch_rating,weigh_heavily,curtail,decline,plague,ignore,doubt,,parlous_state,bearish,hit,cdo,npls,refusal,stymie,,unfavorable,sidestep,conundrum,fallout,highrisk,drastically,deterioration,skyrocket,drain,slacken,tension,,eager,susfers,decimate,choppy,refuse,impede,scepticism,alarmingly,sensitive,,rapid_deterioration,markdowns
9,cataclysmic,severe,affect,cause,unpleasant,cost,task,pit_closure,,dangerous,endanger,peril,gdp,adversely_affect,cripple,stagnate,contraction,difflcult,restrain,moody,propel,crimp,destruction,worsen,affect,jitter,reluctant,weakness,glum,aggravate,synthetic_cdo,delinquency,,severely_hamper,recover,contractionary,sacing,concern,adverse_impact,expensive,gravely,outlay,runaway,,flatlining,pres-_sure,,fail,reel,destabilise,relative_calm,inability,fatally_undermine,frustration,,fragile,overvaluation,sharp_deterioration,subprime
10,disorderly,unforeseeable,detrimental,plague,miserable,pain,headwind,shut_down,,unnecessary,catastrophic,reality,fiscal,severely_damage,counterproductive,decline,deceleration,,impede,underweight,lurch,decimate,weaken,overshadow,afflict,warn,threat,inadequacy,,hinder,volatile,loss,,adversely_affect,fall,downbeat,overcome,thorny_issue,adverse_effect,volatile,severely_damage,cutback,vicious_spiral,spiral,depress,squeeze,,fight,plague,avert,volatile,struggle,endanger,misgiving,sharply,immune,fragility,severe,redemptions
